Item,Units per Assembly,Unit Cost,Units per Package,Package Cost,Cost Per Assembly,URL
Raspberry Pi 3 A+,1,$25.00,1,$25.00,$25.00,https://www.adafruit.com/product/4027
Arduino Micro,1,$19.80,1,$19.80,$19.80,https://store.arduino.cc/usa/arduino-micro
Hyperpixel 4.0,1,$36.50,1,$36.50,$36.50,https://shop.pimoroni.com/products/hyperpixel-4
blueSMIRF Silver,1,$27.95,1,$27.95,$27.95,https://www.sparkfun.com/products/12577)
6” USB micro Cable,1,$2.95,1,$2.95,$2.95,
SN74HC165N,2,$0.48,1,$0.48,$0.96,https://www.digikey.com/product-detail/en/texas-instruments/SN74HC165N/296-8251-5-ND/376966
M2x6 fasteners,27,$0.12,100,$12.05,$3.25,https://www.mcmaster.com/94180a312
M2x3 fasteners,2,$0.17,50,$8.74,$0.35,https://www.mcmaster.com/91292a003
M2 Hex Nut,4,$0.04,100,$4.11,$0.16,https://www.mcmaster.com/90695a025
M2 washers,4,$0.01,100,$1.06,$0.04,https://www.mcmaster.com/93475a195
3” linear shaft,2,$4.56,1,$4.56,$9.12,https://www.mcmaster.com/6061k411
5” linear shaft,2,$5.07,1,$5.07,$10.14,https://www.mcmaster.com/6061k413
0.938” spring,1,$0.44,12,$5.24,$0.44,https://www.mcmaster.com/9657k810
0.5” spring,3,$0.66,12,$7.87,$1.97,https://www.mcmaster.com/9657k268
"2500 mAh 
Lithium ion battery",1,$14.95,1,$14.95,$14.95,https://www.adafruit.com/product/328
"1200mAh
Lithium ion battery",1,$9.95,1,$9.95,$9.95,https://www.adafruit.com/product/258
Powerboost 1000c,2,$19.95,1,$19.95,$39.90,https://www.adafruit.com/product/2465
Protoboards,6,$0.30,30,$8.99,$1.80,https://www.amazon.com/Teenitor-Prototype-Project-Quality-Universal/dp/B01IONQQ3Y/ref=sr_1_1?keywords=teenitor+prototype&qid=1570403288&sr=8-1
3.5mm audio plug,1,$2.50,1,$2.50,$2.50,https://www.adafruit.com/product/2914)
3.5mm headphone jack,1,$0.95,1,$0.95,$0.95,https://www.adafruit.com/product/1699
"Right angle
HDMI adapter",1,$2.00,4,$7.99,$2.00,https://www.amazon.com/DIZA100-4-Pack-Connectors-2-Pack-Adapters/dp/B01GFP4NQA/ref=sr_1_fkmr0_1?keywords=diza100+4+pack+hdmi+adapter+any+angle&qid=1570404308&sr=8-1-fkmr0
RGB LED,1,$2.00,1,$2.00,$2.00,https://www.adafruit.com/product/159
SPDT switch,1,$0.95,1,$0.95,$0.95,https://www.adafruit.com/product/805
"Soft Tactile Momentary
Switch",14,$0.20,10,$1.95,$2.73,https://www.adafruit.com/product/3101
0.5W 1” Speaker,2,$1.95,1,$1.95,$3.90,https://www.adafruit.com/product/1890
10k ohm resistor,16,$0.03,25,$0.75,$0.48,https://www.adafruit.com/product/2784
100 ohm resistor,2,$0.03,25,$0.75,$0.06,https://www.adafruit.com/product/4293
DIP IC sockets,3,$0.09,122,$10.84,$0.27,https://www.amazon.com/Glarks-122Pcs-Sockets-Adaptor-Assortment/dp/B01GOLSUAU/ref=sr_1_fkmr0_1?keywords=clarks+122pcs+2.54mm+pitch+dip&qid=1570404830&sr=8-1-fkmr0
Thumb joystick,2,$3.95,1,$3.95,$7.90,https://www.sparkfun.com/products/9032
Thumb breakout board,2,$1.95,1,$1.95,$3.90,https://www.sparkfun.com/products/9110
,,,,,,
TOTAL ASSEMBLY COST,,,,,$232.87,
